username;tweet;fecha;anuncio;ubicacion;id
Elizabeth789741;alferdez alferdezprensa por favor qxsea a partir del sabafo la cuarentena los q fuimos hoy a trabajar no hemos podido organizarnos;2020-03-19 23:04:48+00:00;Anuncio_1;Buenos Aires, Argentina;1240776263910002691
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_1;Buenos Aires, Argentina;1243993087531266049
vickyuliyapo;comodice inesazpelicueta que comiencen ya a elaborar remedios genericos asi no nos toma de sorpresa identica respuesta que tuvo el gobierno con la elaboracion del alcohol en gel o barbijos c parte del ministerio de defensa vamosss alberto;2020-03-19 22:57:33+00:00;Anuncio_1;Buenos Aires, Argentina;1240774441266745345
RUCHOCASLA;alferdez alferdezprensa a los que enganchan en la ruta yendose de vacaciones metanles una multa de 100 lucas y si se hacen los locos cuarentena presos con los giles mano dura companero abrazo;2020-03-19 20:28:12+00:00;Anuncio_1;Buenos Aires, Argentina;1240736853705318400
Populismomata;alferdezprensa porque no hacen que el indek mida el coronavirus asi lo bajan tan facil como ya hicieron con la inflacion;2020-03-19 17:46:55+00:00;Anuncio_1;Buenos Aires, Argentina;1240696267136577538
MonicaDamiano3;alferdezprensa chapeau presidente lo saludo como mujer que voto a la comporto como duque;2020-03-19 17:24:15+00:00;Anuncio_1;Buenos Aires, Argentina;1240690563621335051
GriseldaLassaga;malisima estrategia de comunicacion alferdezprensa;2020-03-19 09:51:26+00:00;Anuncio_1;Buenos Aires, Argentina;1240576607158505472
LMnuncaP;chile tiene 6 laboratorios y lo amplia a 12 la semana que viene nosotros seguimos con 1 el malbran seguramente superamos al dia de hoy los 500 casos con trafico interno que esperan ginesggarcia alferdezprensa;2020-03-19 08:14:24+00:00;Anuncio_1;Buenos Aires, Argentina;1240552185739595776
IvanBurgofkrebs;alferdez alferdezprensa denuncio un empleador vivo aqui los choferes no se animan a denunciar por miedo a perder su trabajo pero yo soy pasajero y lo puedo hacer tranquilamente buenjueves cuarentenatotal cierretotal noseasgilquedateencasa coronavirus dia3;2020-03-19 04:48:23+00:00;Anuncio_1;Buenos Aires, Argentina;1240500341411581952
Elizabeth789741;alferdez alferdezprensa patobullrich no solo moratoria un tributarista exige otras 9 medidas de alivio impositivo para salvar empresas y empleos durante la pandemia infobae;2020-03-29 17:52:53+00:00;Anuncio_2;Buenos Aires, Argentina;1244321645231321095
sergistack;usas google chrome lo siento por las mayusculas pero existe un nuevo navegador que es mas rapido y mas privado que chrome bloquea los anuncios y los rastreadores lo cual ahorra tiempo de carga la interfaz es exactamente igual que la de chrome brave lo supera en todo;2020-03-28 20:07:18+00:00;Anuncio_2;Buenos Aires, Argentina;1243993087531266049
Pamela41935110;hola banco comafi monte grande;2020-03-29 15:08:41+00:00;Anuncio_2;Buenos Aires, Argentina;1244280324567240706
Pamela41935110;no es justo otro banco pueda cobra por huella dijital y otro banco no lo hacen;2020-03-29 13:56:34+00:00;Anuncio_2;Buenos Aires, Argentina;1244262176455561216
Pamela41935110;no hay repuesta se lava la mano ustdet y el banco anse tambien carajo piensa hacer;2020-03-29 13:55:57+00:00;Anuncio_2;Buenos Aires, Argentina;1244262019525677059
Pamela41935110;piensa mataron de hambre no por el virus si no por hacer todo mal no hareglo nada iva ser para los jubilado y pensionados deja a asen no da solucion no es patos lo banco esa huella cobra mira cobra y otro no cobramos carsjo pienses hacer matarno pasando re enoja furiosa;2020-03-29 13:55:13+00:00;Anuncio_2;Buenos Aires, Argentina;1244261834141708288
Pamela41935110;una pregunta hasta cuanto va esta esto ya no pode mi mas y los banco no atiende ni por telefono y no abre que sea un rato despues cierra les cuesta pedi mi tarjeta de debito no me la dieron ustde tiene plata yo y mi mama no tenemos plata no voy cobra no tengo tarjeta de debito;2020-03-29 13:52:40+00:00;Anuncio_2;Buenos Aires, Argentina;1244261195818901506
luchocremaschi;diganle a federico fernandez que al menos firme el petitorio para ser un poco mas serios;2020-03-29 07:45:44+00:00;Anuncio_2;Buenos Aires, Argentina;1244168853292228610
Antoo2108181;chee alferdezprensa y aca que pasa y la cuarentena y la policia;2020-04-10 23:03:23+00:00;Anuncio_3;Buenos Aires, Argentina;1248748440324096000
MatiasERuiz;dia de sentimientos anticuarentena en su cenit muy a pesar de ello se olfatea una acentuacion de la invectiva confiscatoria oficial sobre esa medida que evalua tomar mr president no lo haga casi un ruego no rompa todo cc alferdez alferdezprensa;2020-04-10 21:13:05+00:00;Anuncio_3;Buenos Aires, Argentina;1248720681975545862
RosanaFalabella;horaciorlarreta alferdezprensa alferdez como este tema se extiende hasta el dia de hoy a lo mejor tenga ganas de ayudarme la scjn me manifesto que so quiero denunciar noooo es momento de construir tenemos un gran presidente alferdez;2020-04-25 20:07:17+00:00;Anuncio_4;Buenos Aires, Argentina;1254139943187894272
emmariviello;elpeorpresidentedelahistoria es tendencia en twitter sera en parte porque alferdez paso de negociar con el mercosur a negociar con los presos kicillofok santicafiero alferdezprensa felipesola;2020-04-25 17:19:10+00:00;Anuncio_4;Buenos Aires, Argentina;1254097631887884288
Ly_Cerv;mauriciomacri siempre demostro su amor por su gente en cientos de maneras asi nosotros con el porque se nos hace imposible olvidar sus 4 anos de gobierno a pesar de todas las abominaciones que le hizo la opo salvaje q soporto estoicamente mauriciomacrielmejor;2020-04-25 14:32:21+00:00;Anuncio_4;Buenos Aires, Argentina;1254055654697906176
HBoleggi;alferdez alferdezprensa c5n todonoticias americatv infobaeamerica canal9oficial jonatanviale gcba batransito mindetransporte horaciorlarreta esta es la manera correcta de transportar materiales con sospecha de coronavirus;2020-04-25 13:28:23+00:00;Anuncio_4;Buenos Aires, Argentina;1254039555331756032
9020Laura;no se negocia con delincuentes alferdez alferdezprensa;2020-04-25 02:21:44+00:00;Anuncio_4;Buenos Aires, Argentina;1253871788729290753
albertoelma;alferdezprensa senor presidente el petroleo en el mas bajo precio del siglo pero la nafta y derivados de hidrocarburos no bajaron pero si nuestros sueldos porque senor;2020-04-25 00:03:53+00:00;Anuncio_4;Buenos Aires, Argentina;1253837095619252225
